run,model,sb,state,day,period,acc
1,ecnn0,1,val,1,AM,0.734375
1,ecnn0,1,val,1,PM,0.763671875
1,ecnn0,1,val,2,AM,0.7626953125
1,ecnn0,1,val,2,PM,0.7568359375
1,ecnn0,1,test,3,AM,0.70068359375
1,ecnn0,1,test,3,PM,0.55126953125
1,ecnn0,1,test,4,AM,0.744140625
1,ecnn0,1,test,4,PM,0.72314453125
1,ecnn0,1,test,5,AM,0.6708984375
1,ecnn0,1,test,5,PM,0.6494140625
1,ecnn0,3,val,1,AM,0.76904296875
1,ecnn0,3,val,1,PM,0.8017578125
1,ecnn0,3,val,2,AM,0.82177734375
1,ecnn0,3,val,2,PM,0.8193359375
1,ecnn0,3,test,3,AM,0.69921875
1,ecnn0,3,test,3,PM,0.48193359375
1,ecnn0,3,test,4,AM,0.35595703125
1,ecnn0,3,test,4,PM,0.42578125
1,ecnn0,3,test,5,AM,0.5625
1,ecnn0,3,test,5,PM,0.43701171875
1,ecnn0,4,val,1,AM,0.6943359375
1,ecnn0,4,val,1,PM,0.7451171875
1,ecnn0,4,val,2,AM,0.7470703125
1,ecnn0,4,val,2,PM,0.82373046875
1,ecnn0,4,test,3,AM,0.4287109375
1,ecnn0,4,test,3,PM,0.39111328125
1,ecnn0,4,test,4,AM,0.389404296875
1,ecnn0,4,test,4,PM,0.40478515625
1,ecnn0,4,test,5,AM,0.390380859375
1,ecnn0,4,test,5,PM,0.4013671875
1,ecnn0,5,val,1,AM,0.9404296875
1,ecnn0,5,val,1,PM,0.876953125
1,ecnn0,5,val,2,AM,0.9091796875
1,ecnn0,5,val,2,PM,0.93798828125
1,ecnn0,5,test,3,AM,0.6171875
1,ecnn0,5,test,3,PM,0.7158203125
1,ecnn0,5,test,4,AM,0.5029296875
1,ecnn0,5,test,4,PM,0.65478515625
1,ecnn0,5,test,5,AM,0.642578125
1,ecnn0,5,test,5,PM,0.6650390625
1,ecnn0,6,val,1,AM,0.8876953125
1,ecnn0,6,val,1,PM,0.82568359375
1,ecnn0,6,val,2,AM,0.869140625
1,ecnn0,6,val,2,PM,0.85009765625
1,ecnn0,6,test,3,AM,0.4921875
1,ecnn0,6,test,3,PM,0.60205078125
1,ecnn0,6,test,4,AM,0.57177734375
1,ecnn0,6,test,4,PM,0.54345703125
1,ecnn0,6,test,5,AM,0.2822265625
1,ecnn0,6,test,5,PM,0.466552734375
1,ecnn0,7,val,1,AM,0.69921875
1,ecnn0,7,val,1,PM,0.73193359375
1,ecnn0,7,val,2,AM,0.67236328125
1,ecnn0,7,val,2,PM,0.75927734375
1,ecnn0,7,test,3,AM,0.58154296875
1,ecnn0,7,test,3,PM,0.5859375
1,ecnn0,7,test,4,AM,0.43408203125
1,ecnn0,7,test,4,PM,0.490234375
1,ecnn0,7,test,5,AM,0.468017578125
1,ecnn0,7,test,5,PM,0.4765625
1,ecnn0,8,val,1,AM,0.79150390625
1,ecnn0,8,val,1,PM,0.7646484375
1,ecnn0,8,val,2,AM,0.7265625
1,ecnn0,8,val,2,PM,0.84033203125
1,ecnn0,8,test,3,AM,0.2548828125
1,ecnn0,8,test,3,PM,0.344482421875
1,ecnn0,8,test,4,AM,0.51953125
1,ecnn0,8,test,4,PM,0.458740234375
1,ecnn0,8,test,5,AM,0.399658203125
1,ecnn0,8,test,5,PM,0.391357421875
1,ecnn0,10,val,1,AM,0.8193359375
1,ecnn0,10,val,1,PM,0.9033203125
1,ecnn0,10,val,2,AM,0.77001953125
1,ecnn0,10,val,2,PM,0.7021484375
1,ecnn0,10,test,3,AM,0.468017578125
1,ecnn0,10,test,3,PM,0.432373046875
1,ecnn0,10,test,4,AM,0.452392578125
1,ecnn0,10,test,4,PM,0.66748046875
1,ecnn0,10,test,5,AM,0.49365234375
1,ecnn0,10,test,5,PM,0.3271484375
1,ecnn1,1,val,1,AM,0.75439453125
1,ecnn1,1,val,1,PM,0.736328125
1,ecnn1,1,val,2,AM,0.787109375
1,ecnn1,1,val,2,PM,0.77978515625
1,ecnn1,1,test,3,AM,0.65673828125
1,ecnn1,1,test,3,PM,0.479736328125
1,ecnn1,1,test,4,AM,0.7138671875
